Occupation,Median wage (US),Projected growth (by 2031),Risk level,Risk level (voted),Job score
Physical Therapists ,"97,720",0.169,0,0.2022,9.0/10
Nurse Practitioners ,"121,610",0.457,0,0.2926,9.0/10
Occupational Therapists ,"93,180",0.139,0,0.189,8.7/10
Physician Assistants ,"126,010",0.276,0,0.32,8.7/10
Construction Managers ,"101,480",0.076,0.0405,0.2227,8.7/10
Psychiatrists ,"226,880",0.087,0,0.2255,8.6/10
Speech-Language Pathologists ,"84,140",0.213,0.0831,0.2,8.6/10
Water/Wastewater Engineers ,"89,940",0.069,0.0266,0.2045,8.5/10
Veterinarians ,"103,260",0.194,0.1034,0.2411,8.4/10
Clinical and Counseling Psychologists ,"90,130",0.099,0.0673,0.1747,8.4/10
Advanced Practice Psychiatric Nurses ,"81,220",0.062,0,0.1458,8.3/10
Critical Care Nurses ,"81,220",0.062,0,0.2222,8.3/10
Computer and Information Systems Managers ,"164,070",0.162,0.294,0.32,8.3/10
Physicists ,"142,850",0.082,0,0.1913,8.3/10
Art Drama and Music Teachers Postsecondary ,"77,280",0.088,0,0.2188,8.2/10
Medical Scientists Except Epidemiologists ,"99,930",0.174,0.232,0.2817,8.2/10
Sports Medicine Physicians ,"223,410",0.024,0,0.1548,8.2/10
Medical and Health Services Managers ,"104,830",0.283,0.1589,0.34,8.2/10
Computer and Information Research Scientists ,"136,620",0.213,0.1767,0.2781,8.2/10
Healthcare Social Workers ,"60,280",0.111,0,0.2257,8.1/10
Clinical Nurse Specialists ,"81,220",0.062,0,0.2396,8.1/10
Registered Nurses ,"81,220",0.062,0.1007,0.2216,8.1/10
Lawyers ,"135,740",0.096,0.2223,0.35,8.1/10
Bioengineers and Biomedical Engineers ,"99,550",0.098,0,0.2388,8.1/10
Chemical Engineers ,"106,260",0.139,0.0598,0.2822,8.1/10
Chiropractors ,"75,380",0.104,0.0437,0.2069,8.0/10
Occupational Therapy Assistants ,"64,250",0.254,0.0816,0.1389,8.0/10
Nurse Anesthetists ,"203,090",0.118,0.0243,0.35,8.0/10
Dentists General ,"155,040",0.061,0,0.31,8.0/10
Security Managers ,"99,030",0.069,0,0.2586,8.0/10
Substance Abuse and Behavioral Disorder Counselors ,"49,710",0.221,0.0413,0.2216,8.0/10
Education Administrators Kindergarten through Secondary ,"101,320",0.049,0,0.2625,8.0/10
Transportation Engineers ,"89,940",0.069,0,0.31,8.0/10
Educational Guidance and Career Counselors and Advisors ,"60,140",0.096,0.0193,0.2886,8.0/10
Physical Medicine and Rehabilitation Physicians ,"223,410",0.024,0,0.2672,8.0/10
Athletes and Sports Competitors ,"94,270",0.357,0.1669,0.1358,8.0/10
Ophthalmologists Except Pediatric ,"219,810",0.064,0.0736,0.175,8.0/10
Nurse Midwives ,"120,880",0.075,0,0.2424,8.0/10
